Unit,Cluster,Gen8,Gen9LPClient,Gen10LP,Gen8SoC,Gen9LPSoC,Gen10LPSoC
CC,COLOR,0,619923,1,0,648973,629290
DAPB,COLOR,0,146274,1,0,0,148484
DAPRSC,COLOR,370000,405761,1,237222,389343,411892
MSC,COLOR,375000,874121,1,408795,986701,887329
RCC,COLOR,530000,761858,1,503272,731584,773370
RCPBCOM,COLOR,0,526529,1,0,497130,534485
RCPBPIX,COLOR,0,1662651,1,0,1701476,1687774
RCPFE,COLOR,622000,730870,1,550952,696124,741913
DFX,EU,33151,50048,1,42470,43344,50048.79
DOP,EU,1,1,1,1,1,1
EM,EU,415000,424378,1,412522.5,408186.5,426473.5
FPU,EU,415000,424378,1,412522.5,408186.5,426473.5
GA,EU,220000,240558,1,219549,259112,241746
CLKGLUE,EU,0,1,1,0,1,1
NONCLKGLUE,EU,0,1,1,0,1,1
SMALL,EU,10787,26172,1,23961,61692,26279.5
TC,EU,457000,494779,1,472701,463218,497222
CL,FF,1010000,1178379,1,861692,1095280,1193220
CS,FF,492000,455999,1,436980,407892,461744
TEGSSOL_SMALL,FF,0,15865,1,0,41430.4,15911.918
TEGSSOL_DFX,FF,0,170070,1,0,176662.4,167978.772
TEGSSOL_DOP,FF,1,1,1,1,1,1
TEGSSOL_CLKGLUE,FF,0,1,1,0,1,1
TEGSSOL_NONCLKGLUE,FF,0,1,1,0,1,1
OTHER_SMALL,FF,0,126713,1,0,335209.6,128741.882
OTHER_DFX,FF,0,296818,1,0,314066.6,298628.928
OTHER_DOP,FF,1,1,1,1,1,1
OTHER_CLKGLUE,FF,0,1,1,0,1,1
OTHER_NONCLKGLUE,FF,0,1,1,0,1,1
DFX,FF,483000,0,1,414893,0,0
DOP,FF,1,0,1,1,0,0
CLKGLUE,FF,0,0,1,0,0,0
NONCLKGLUE,FF,0,0,1,0,0,0
GS,FF,877000,670479,1,339168,365429,678926
HS,FF,386000,396706,1,86319,166374,401704
OACS,FF,160000,174794,1,147073,165926,176997
RS,FF,280000,336597,1,274515,320870,340838
SDE,FF,62755,67636,1,44925,44863,68488.3
SF,FF,1250000,1219082,1,1036182,978165,1234440
SMALL,FF,559114,0,1,240811,0,0
SOL,FF,282000,276322,1,266821,271186,279803
SVG,FF,74370,121010,1,67600,112632,122535
TDG,FF,154000,151399,1,50467,150670,153307
TDS,FF,951000,778375,1,279320,294233,788181
TE,FF,128000,172055,1,103193,101671,112667
TETG,FF,39155,0,1,31012,51097,61556.1
TSG,FF,273000,470059,1,211607,239691,475981
URBM,FF,186000,178773,1,187913,165331,181025
VF,FF,1650000,722962,1,855342,651837,732070
VFBE1,FF,0,541243,1,0,523505,548062
VFBE2,FF,0,537699,1,0,531355,544473
VFE,FF,99841,109524,1,104220,105122,110904
VSBE,FF,825443,645002,1,466940,307085,653128
VSFE,FF,825443,404727,1,466940,193841,409826
DFX,GAM,174000,424732,1,119752,289105,425577.2
DOP,GAM,1,1,1,1,1,1
GACB,GAM,299000,203502,1,16015,86119,209520
GAFM,GAM,56231,62265,1,52586,61249,63049.4
GAFS,GAM,713000,735287,1,391431,479044,744550
GAMD,GAM,0,1351647,1,0,1219572,1391620
GAMTLB,GAM,1500000,1685534,1,766635,1166393,1735380
GAMW,GAM,1790000,1758882,1,868393,1175004,1810900
GAPC,GAM,42389,41795,1,39812,40815,42426.1
GAPL3,GAM,106000,109452,1,49955,59068,111106
GAPS,GAM,81131,95063,1,75692,90089,96499.4
GAPZ,GAM,66226,75774,1,63703,66028,76919.1
CLKGLUE,GAM,0,1,1,0,1,1
NONCLKGLUE,GAM,0,1,1,0,1,1
SMALL,GAM,212000,205102,1,213100,392726,2076601
DOP,GTI,1,1,1,1,1,1
DOP1X,GTI,1,1,1,1,1,1
DOP2X,GTI,1,1,1,1,1,1
CLKGLUE,GTI,0,1,1,0,1,1
NONCLKGLUE,GTI,0,1,1,0,1,1
GLUE,GTI,0,0,1,0,0,0
GTI,GTI,2210000,2200013,1,3297986,3177712,3172028
SMALL,GTI,868000,1408285,1,281386,495214,642742.6
DFX,HDC,0,67964,1,0,207730,77381.76
DOP,HDC,1,1,1,1,1,1
CLKGLUE,HDC,0,1,1,0,1,1
NONCLKGLUE,HDC,0,1,1,0,1,1
HDCREQCMD1,HDC,0,498583,1,0,571330,498583
HDCREQCMD2,HDC,0,1026870,1,0,1043208,1026870
HDCREQDATA,HDC,4300000,295524,1,2847373,293892,295524
HDCRET,HDC,1160000,606529,1,582424,711261,606529
HDCTLB,HDC,1260000,422023,1,154571,870839,427799
SMALL,HDC,0,75814,1,0,274710,117224
DFX,L3_Bank,48135,98861,1,58092,145968,98861.48
DOP,L3_Bank,1,1,1,1,1,1
CLKGLUE,L3_Bank,0,1,1,0,1,1
NONCLKGLUE,L3_Bank,0,1,1,0,1,1
L3BankOther,L3_Bank,91000,0,1,39169,0,0
LNE,L3_Bank,517000,470610,1,143981,321051,443280
LNEXS,L3_Bank,1,1,1,1,1,1
LNI,L3_Bank,772000,929228,1,424073,670087,875264
LNIXS,L3_Bank,1,1,1,1,1,1
LSLM,L3_Bank,178000,247181,1,152286,431584,262377
LSQC,L3_Bank,308000,387630,1,312124,562566,411461
LSQD,L3_Bank,272000,327647,1,267348,395681,347790
LTCC,L3_Bank,18954,24225,1,11301,27543,25714.5
LTCD_Data,L3_Bank,874000,743950,1,629970,225338,789688
LTCD_EBB,L3_Bank,1,1,1,1,1,1
LTCD_Tag,L3_Bank,874000,743950,1,629970,568111,789688
SMALL,L3_Bank,90000,52872,1,39169,105016,55260.85
Blitter,Other,1390000,1575768,1,1404563,1649816,1631275
ClockSpine,Other,1,1,1,1,1,1
GTP24C,Other,0,1024420,1,0,923266,1025652
WIDI,Other,1,1245697,1,1600507,1285600,1358773
DFX,ROSC,756000,708553,1,652347,665947,708553.7
DOP,ROSC,1,1,1,1,1,1
CLKGLUE,ROSC,0,1,1,0,1,1
NONCLKGLUE,ROSC,0,1,1,0,1,1
SARB,ROSC,297000,178270,1,158431,154352,180427
SBE,ROSC,1110000,1187956,1,771604,784271,1205910
SMALL,ROSC,1150000,1053605,1,669847,1476440,1059056
SVL,ROSC,87170,101466,1,90237,107840,102462
TDC,ROSC,116000,184791,1,115783,168823,187584
WMBE,ROSC,594000,820984,1,567677,812539,833390
WMFE,ROSC,197000,206340,1,189414,203738,209458
BC,ROSS,526000,640873,1,523851,619034,640873
DAPRSS,ROSS,443000,755387,1,462100,208407.3,204889.6
DFX,ROSS,330000,454586,1,379621,493681,514604.6
DOP,ROSS,1,1,1,1,1,1
CLKGLUE,ROSS,0,1,1,0,1,1
NONCLKGLUE,ROSS,0,1,1,0,1,1
GWL,ROSS,175000,84455,1,117058,81434,84455.4
IC,ROSS,242000,294943,1,268751,302617,363166
MA_IN,ROSS,142000,82432.5,1,152669,74999,101499.5
MA_OUT,ROSS,142000,82432.5,1,152669,74999,101499.5
PSD,ROSS,652000,701560,1,652243,697059,701560
SMALL,ROSS,245000,592665,1,251411,850570,443963.9
TDL,ROSS,494000,472905,1,497473,487942,472905
DG,Sampler,231000,236954,1,233159,242325,239178
DM,Sampler,613000,1055510,1,877312,1122421,1065413
FL,Sampler,903000,1013008,1,932216,1035523,1022510
FT,Sampler,92925,142948,1,115115,141677,144290
MT,Sampler,324000,382692,1,354679,397513,383069
PL,Sampler,466000,538392,1,469061,502407,543444
SC,Sampler,331000,386855,1,331421,418768,390485
SI,Sampler,335000,384766,1,339423,395356,388376
SO,Sampler,193000,136693,1,238022,122558,137976
ST,Sampler,371000,188911,1,385542,178512,190684
SVSM,Sampler,129000,144682,1,128210,151899,161935.7
HIZ,Z,1700000,1803362,1,1643431,1130688,1830610
IZ,Z,966000,1120143,1,935795,937933,1029690
RCZ,Z,968000,986877,1,741562,890507,1001790
STC,Z,696000,634147,1,537693,591961,643729
Media,Sampler,2300000,0,1,2385204,0,0
Media_Idle,Other,5370000,0,1,10927273,0,0
CRE,Sampler,0,573173,1,0,604394,618719
AVS,Sampler,0,851485,1,0,852636,919146
IEF,Sampler,0,223346,1,0,241704,241094
IME,Sampler,0,1177928,1,0,1177349,1271530
MEDIASMP_SMALL,Sampler,0,44707,1,0,44819,48259.7
MEDIASMP_DFX,Sampler,0,64168,1,0,0,0
MEDIASMP_DOP,Sampler,0,1,1,0,1,1
MEDIASMP_CLKGLUE,Sampler,0,1,1,0,1,1
MEDIASMP_NONCLKGLUE,Sampler,0,1,1,0,1,1
SliceRC,RC,1700000,1803362,1,1643431,1130688,0
L3XSRC,RC,772000,929228,1,424073,670087,0
GT3BFRC,RC,1010000,1178379,1,861692,1095280,0
Fabric,RC,0,0,1,0,0,1
